Census year,Block ID,Property ID,Base property ID,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Longitude,Latitude
2022,61,674546,105718,Melbourne (CBD),Kyoto Mart,627-629 Lonsdale Street MELBOURNE VIC 3000,4110,Supermarket and Grocery Stores,144.9536079679469,-37.81541879235
2022,64,103193,103193,Melbourne (CBD),Xinjiang Lamian Restaurant,255 Elizabeth Street MELBOURNE VIC 3000,4129,Other Specialised Food Retailing,144.96216566199485,-37.8127430369
2022,65,105698,105698,Melbourne (CBD),Glace,Kiosk 08 287 Lonsdale Street MELBOURNE VIC 3000,4129,Other Specialised Food Retailing,144.96392893701363,-37.81247035035
2022,65,105698,105698,Melbourne (CBD),T2,Shop G44 287 Lonsdale Street MELBOURNE VIC 3000,4129,Other Specialised Food Retailing,144.96392893701363,-37.81247035035
2022,66,104784,104784,Melbourne (CBD),Wing Cheong Chinatown,14-22 Heffernan Lane MELBOURNE VIC 3000,4110,Supermarket and Grocery Stores,144.9667987039,-37.81169945346378
2022,66,105889,105889,Melbourne (CBD),Ocean King,188 Little Bourke Street MELBOURNE VIC 3000,4129,Other Specialised Food Retailing,144.96692568425,-37.81185619915
2022,67,105680,105680,Melbourne (CBD),Carmen Discount Smoke And Convenience Store,"Office 2, 139 Lonsdale Street MELBOURNE VIC 3000",4111,Convenience Store,144.96826089785,-37.81078634315927
2022,72,110708,110707,Melbourne (CBD),CT Mart,"Shop 4, 535 Little Lonsdale Street MELBOURNE VIC 3000",4111,Convenience Store,144.95600158025002,-37.81346261063083
2022,74,105737,105737,Melbourne (CBD),CBD Lonsdale Convenience Store,Ground 408 Lonsdale Street MELBOURNE VIC 3000,4111,Convenience Store,144.960327221,-37.812442152378935
2022,74,106014,106014,Melbourne (CBD),Mr Rhino,361-365 Little Lonsdale Street MELBOURNE VIC 3000,4110,Supermarket and Grocery Stores,144.96128991735,-37.81163016094391
2022,76,589841,105749,Melbourne (CBD),Woolworths,Part 5-15 QV Undercroft MELBOURNE VIC 3000,4110,Supermarket and Grocery Stores,144.965725053002,-37.81067861705
2022,76,589841,105749,Melbourne (CBD),Ezymart,190 Lonsdale Street MELBOURNE VIC 3000,4111,Convenience Store,144.965725053002,-37.81067861705
2022,85,105746,105746,Melbourne (CBD),PANTRE FINE FOOD AND ASIAN GROCERIES,"Shop 8-9, LwrGround 300 Lonsdale Street MELBOURNE VIC 3000",4110,Supermarket and Grocery Stores,144.96283887063584,-37.8109017475
2022,85,105746,105746,Melbourne (CBD),T2,"Shop 49, Ground 300 Lonsdale Street MELBOURNE VIC 3000",4129,Other Specialised Food Retailing,144.96283887063584,-37.8109017475
2022,85,109309,109309,Melbourne (CBD),EzyMart,323 Swanston Street MELBOURNE VIC 3000,4111,Convenience Store,144.96404920623553,-37.8107658111
2022,93,105477,105477,Melbourne (CBD),Urban Hub,Part Ground 380-390 La Trobe Street MELBOURNE VIC 3000,4111,Convenience Store,144.95805069635,-37.81091259571215
2022,94,103216,103216,Melbourne (CBD),Smile Bread,369 Elizabeth Street MELBOURNE VIC 3000,4129,Other Specialised Food Retailing,144.96084965185,-37.81001419111698
2022,94,103216,103216,Melbourne (CBD),Crown Asian Supermarket,385 Elizabeth Street MELBOURNE VIC 3000,4110,Supermarket and Grocery Stores,144.96084965185,-37.81001419111698
2022,97,103615,103615,Melbourne (CBD),Exhibition Street IGA X-Press,Ground & Part Mezz 333 Exhibition Street MELBOURNE VIC 3000,4111,Convenience Store,144.96805995219304,-37.80780089184999
2022,97,106368,106368,Melbourne (CBD),Wantsmart,35 MacKenzie Street MELBOURNE VIC 3000,4111,Convenience Store,144.9669523088,-37.80781130339424
2022,103,621414,621414,Melbourne (CBD),City Mart Australia,222 A'Beckett Street MELBOURNE VIC 3000,4111,Convenience Store,144.956599166207,-37.8101725435
2022,105,103301,103301,Melbourne (CBD),EzyMart,Part 125 Franklin Street MELBOURNE VIC 3000,4111,Convenience Store,144.96085872234173,-37.8083080579
2022,111,108947,108947,West Melbourne (Residential),AC Mart,57 Dudley Street WEST MELBOURNE VIC 3003,4111,Convenience Store,144.95058758714094,-37.810256787
2022,113,110673,108118,Melbourne (CBD),QVM Vitamins,95-97 Victoria Street MELBOURNE VIC 3000,4129,Other Specialised Food Retailing,144.9576272223,-37.80783257422127
2022,113,110674,108118,Melbourne (CBD),Vic Market Stalls Shed A,Shed A Queen Victoria Market 90 Peel Street MELBOURNE VIC 3000,4122,Fruit and Vegetable Retailing,144.9576272223,-37.80783257422127
2022,113,110675,108118,Melbourne (CBD),Vic Market Stalls Shed B,Shed B Queen Victoria Market 84 Peel Street MELBOURNE VIC 3000,4122,Fruit and Vegetable Retailing,144.9576272223,-37.80783257422127
2022,113,110682,108118,Melbourne (CBD),Vic Market Stalls Shed L,Shed L Queen Victoria Market 54 Peel Street MELBOURNE VIC 3000,4122,Fruit and Vegetable Retailing,144.9576272223,-37.80783257422127
